Date,State,Confirmed,Recovered,Deceased,Other,Tested
1/30/2020,Kerala,1,0,0,0,
1/30/2020,India,1,0,0,0,
2/2/2020,Kerala,2,0,0,0,
2/2/2020,India,2,0,0,0,
2/3/2020,Kerala,3,0,0,0,
2/3/2020,India,3,0,0,0,
2/14/2020,Kerala,3,3,0,0,
2/14/2020,India,3,3,0,0,
3/2/2020,Delhi,1,0,0,0,
3/2/2020,Kerala,3,3,0,0,
3/2/2020,Telangana,1,0,0,0,
3/2/2020,India,5,3,0,0,
3/3/2020,Delhi,1,0,0,0,
3/3/2020,Kerala,3,3,0,0,
3/3/2020,Rajasthan,1,0,0,0,
3/3/2020,Telangana,1,0,0,0,
3/3/2020,India,6,3,0,0,
3/4/2020,Delhi,1,0,0,0,
3/4/2020,Haryana,14,0,0,0,
3/4/2020,Kerala,3,3,0,0,
3/4/2020,Rajasthan,2,0,0,0,
3/4/2020,Telangana,1,0,0,0,
3/4/2020,India,28,3,0,0,
3/4/2020,Uttar Pradesh,7,0,0,0,
3/5/2020,Delhi,2,0,0,0,
3/5/2020,Haryana,14,0,0,0,
3/5/2020,Kerala,3,3,0,0,
3/5/2020,Rajasthan,2,0,0,0,
3/5/2020,Telangana,1,0,0,0,
3/5/2020,India,30,3,0,0,
3/5/2020,Uttar Pradesh,8,0,0,0,
3/6/2020,Delhi,3,0,0,0,
3/6/2020,Haryana,14,0,0,0,
3/6/2020,Kerala,3,3,0,0,
3/6/2020,Rajasthan,2,0,0,0,
3/6/2020,Telangana,1,0,0,0,
3/6/2020,India,31,3,0,0,
3/6/2020,Uttar Pradesh,8,0,0,0,
3/7/2020,Delhi,3,0,0,0,
3/7/2020,Haryana,14,0,0,0,
3/7/2020,Kerala,3,3,0,0,
3/7/2020,Ladakh,2,0,0,0,
3/7/2020,Rajasthan,2,0,0,0,
3/7/2020,Telangana,1,0,0,0,
3/7/2020,Tamil Nadu,1,0,0,0,
3/7/2020,India,34,3,0,0,
3/7/2020,Uttar Pradesh,8,0,0,0,
3/8/2020,Delhi,3,0,0,0,
3/8/2020,Haryana,14,0,0,0,
3/8/2020,Kerala,8,3,0,0,
3/8/2020,Ladakh,2,0,0,0,
3/8/2020,Rajasthan,2,0,0,0,
3/8/2020,Telangana,1,0,0,0,
3/8/2020,Tamil Nadu,1,0,0,0,
3/8/2020,India,39,3,0,0,
3/8/2020,Uttar Pradesh,8,0,0,0,
3/9/2020,Delhi,4,0,0,0,
3/9/2020,Haryana,14,0,0,0,
3/9/2020,Jammu and Kashmir,1,0,0,0,
